"","W1","W2","W3","W4","W5","Count"
"4345","i","am","thankful","for","the",5
"4346","if","you","want","to","write",5
"4347","glad","to","have","you","in",5
"4348","everyone","has","a","great","weekend",5
"4349","a","great","day","to","be",5
"4350","great","to","connect","with","you",5
"4351","about","not","being","able","to",5
"4352","was","lucky","enough","to","get",5
"4353","where","is","your","favorite","place",5
"4354","you","get","a","chance","to",5
"4355","so","much","work","to","do",5
"4356","have","to","say","that","the",5
"4357","in","the","world","where","would",5
"4358","even","get","me","started","on",5
"4359","for","the","second","time","today",5
"4360","to","figure","out","what","the",5
"4361","i","do","have","to","say",5
"4362","have","to","get","up","at",5
"4363","i","don","t","like","to",5
"4364","know","you","can","do","it",5
"4365","the","only","one","who","has",5
"4366","out","of","bed","this","morning",5
"4367","i","dont","have","time","to",5
"4368","its","a","great","day","for",5
"4369","you","i","love","you","so",5
"4370","just","wanted","to","say","hello",5
"4371","happy","birthday","to","my","best",5
"4372","have","to","worry","about","that",5
"4373","tell","you","i","love","you",5
"4374","can","someone","explain","to","me",5
"4375","failure","is","not","an","option",5
"4376","i","have","to","do","this",5
"4377","whats","the","difference","between","a",5
"4378","today","is","my","last","day",5
"4379","on","to","bigger","and","better",5
"4380","just","asked","me","if","i",5
"4381","asked","me","if","i","wanted",5
"4382","cant","wait","to","check","it",5
"4383","wait","to","check","it","out",5
"4384","me","i","need","more","followers",5
"4385","want","to","be","with","you",5
"4386","fall","in","love","with","someone",5
"4387","will","be","a","lot","of",5
"4388","out","of","the","corner","of",5
"4389","but","i","cant","wait","to",5
"4390","i","can","do","all","things",5
"4391","all","the","spam","bot","followers",5
"4392","the","spam","bot","followers","by",5
"4393","spam","bot","followers","by","unfollowing",5
"4394","dont","unfollow","me","if","you",5
"4395","unfollow","me","if","you","are",5
"4396","me","if","you","are","human",5
"4397","if","you","are","human","promise",5
"4398","you","are","human","promise","to",5
"4399","are","human","promise","to","follow",5
"4400","human","promise","to","follow","you",5
"4401","promise","to","follow","you","back",5
"4402","in","a","month","or","two",5
"4403","on","dancing","with","the","stars",5
"4404","year","old","and","year","old",5
"4405","i","want","to","go","home",5
"4406","i","think","it","should","be",5
"4407","im","going","to","miss","you",5
"4408","secretary","of","state","hillary","clinton",5
"4409","when","it","came","to","the",5
"4410","rt","san","antonio","tonight","join",5
"4411","san","antonio","tonight","join","at",5
"4412","i","will","be","going","to",5
"4413","will","be","going","to","the",5
"4414","to","be","a","little","more",5
"4415","chance","to","win","tickets","to",5
"4416","long","time","since","i","have",5
"4417","so","glad","to","hear","it",5
"4418","said","she","was","going","to",5
"4419","do","you","think","about","the",5
"4420","should","be","a","good","time",5
"4421","died","at","the","age","of",5
"4422","thanks","so","much","for","coming",5
"4423","so","much","for","joining","us",5
"4424","summer","is","going","to","be",5
"4425","when","you","go","to","the",5
"4426","for","the","remainder","of","the",5
"4427","over","and","over","again","and",5
"4428","be","lying","if","i","said",5
"4429","would","you","like","to","be",5
"4430","great","to","hear","from","you",5
"4431","i","dont","like","it","when",5
"4432","i","have","to","wait","until",5
"4433","do","you","want","to","do",5
"4434","i","have","absolutely","no","idea",5
"4435","the","whole","time","i","was",5
"4436","a","match","made","in","heaven",5
"4437","with","the","help","of","my",5
"4438","the","fact","that","you","can",5
"4439","this","is","the","second","time",5
"4440","that","is","a","lot","of",5
"4441","thank","you","thank","you","for",5
"4442","i","didnt","want","to","be",5
"4443","what","you","want","to","say",5
"4444","if","you","can","dream","it",5
"4445","with","you","on","that","one",5
"4446","have","you","ever","been","to",5
"4447","the","voices","in","my","head",5
"4448","if","it","werent","for","the",5
"4449","who","is","going","to","be",5
"4450","raise","your","hand","if","you",5
"4451","put","a","smile","on","my",5
"4452","see","think","like","a","man",5
"4453","am","so","in","love","with",5
"4454","thanks","ill","check","it","out",5
"4455","the","middle","of","the","day",5
"4456","how","many","of","you","have",5
"4457","i","love","fizzy","family","follow",5
"4458","love","fizzy","family","follow","me",5
"4459","fizzy","family","follow","me","please",5
"4460","so","much","for","all","of",5
"4461","if","you","want","to","do",5
"4462","make","it","a","great","day",5
"4463","im","looking","forward","to","seeing",5
"4464","really","looking","forward","to","seeing",5
"4465","you","for","all","of","your",5
"4466","have","asked","for","a","better",5
"4467","send","me","a","pic","of",5
"4468","if","you","want","to","follow",5
"4469","dont","take","the","time","to",5
"4470","its","going","to","be","great",5
"4471","for","the","ff","have","a",5
"4472","i","had","a","crush","on",5
"4473","in","my","head","for","a",5
"4474","i","could","go","back","in",5
"4475","this","is","the","day","that",5
"4476","so","happy","to","hear","that",5
"4477","a","shout","out","to","my",5
"4478","with","the","pungle","me","app",5
"4479","i","close","my","eyes","i",5
"4480","you","to","everyone","who","has",5
"4481","know","how","i","feel","about",5
"4482","at","a","loss","for","words",5
"4483","there","comes","a","time","in",5
"4484","to","make","a","trip","to",5
"4485","figured","out","a","way","to",5
"4486","to","have","a","good","time",5
"4487","im","not","going","to","school",5
"4488","and","take","advantage","of","the",5
"4489","i","cant","stop","listening","to",5
"4490","is","what","happens","when","you",5
"4491","you","have","the","chance","to",5
"4492","you","want","me","to","do",5
"4493","on","the","way","back","to",5
"4494","i","will","get","back","to",5
"4495","no","i","dont","want","to",5
"4496","point","in","my","life","where",5
"4497","what","doesnt","kill","you","makes",5
"4498","doesnt","kill","you","makes","you",5
"4499","the","cost","of","living","is",5
"4500","second","day","in","a","row",5
"4501","as","much","as","we","can",5
"4502","telling","it","like","it","is",5
"4503","to","everyone","who","participated","in",5
"4504","what","i","would","do","if",5
"4505","on","you","fool","me","twice",5
"4506","it","in","the","first","place",5
"4507","its","not","going","to","happen",5
"4508","dont","forget","to","get","your",5
"4509","as","soon","as","it","is",5
"4510","i","just","fell","in","love",5
"4511","will","be","on","the","show",5
"4512","im","not","sure","if","im",5
"4513","but","heres","my","number","so",5
"4514","in","front","of","me","has",5
"4515","have","you","checked","out","the",5
"4516","on","my","way","to","school",5
"4517","so","i","can","get","a",5
"4518","its","one","of","the","best",5
"4519","you","are","more","likely","to",5
"4520","now","i","just","have","to",5
"4521","thank","you","for","everything","you",5
"4522","buy","one","get","one","free",5
"4523","ill","talk","to","you","tomorrow",5
"4524","it","is","better","to","be",5
"4525","and","thats","a","good","thing",5
"4526","and","dont","forget","the","sunscreen",5
"4527","sure","to","check","out","my",5
"4528","happens","in","vegas","stays","in",5
"4529","in","vegas","stays","in","vegas",5
"4530","let","me","know","when","youre",5
"4531","on","the","other","hand","you",5
"4532","i","went","for","a","run",5
"4533","had","a","chance","to","check",5
"4534","so","glad","you","enjoyed","it",5
"4535","love","you","so","much","you",5
"4536","i","cant","go","back","to",5
"4537","thanks","for","the","follow","would",5
"4538","you","want","to","see","the",5
"4539","im","in","need","of","a",5
"4540","a","once","in","a","lifetime",5
"4541","to","have","you","in","my",5
"4542","did","you","know","that","there",5
"4543","today","what","do","you","think",5
"4544","i","have","to","say","about",5
"4545","know","if","you","want","to",5
"4546","i","have","a","lot","to",5
"4547","you","feel","the","same","way",5
"4548","sorry","i","havent","been","on",5
"4549","theres","a","fine","line","between",5
"4550","if","you","think","about","it",5
"4551","the","art","of","getting","someone",5
"4552","art","of","getting","someone","else",5
"4553","of","getting","someone","else","to",5
"4554","getting","someone","else","to","do",5
"4555","someone","else","to","do","something",5
"4556","else","to","do","something","you",5
"4557","to","do","something","you","want",5
"4558","do","something","you","want","done",5
"4559","something","you","want","done","because",5
"4560","you","want","done","because","he",5
"4561","want","done","because","he","wants",5
"4562","done","because","he","wants","to",5
"4563","he","wants","to","do","it",5
"4564","wants","to","do","it","dwight",5
"4565","to","do","it","dwight","d",5
"4566","do","it","dwight","d","eisenhower",5
"4567","have","better","things","to","do",5
"4568","we","are","so","blessed","to",5
"4569","are","so","blessed","to","have",5
"4570","so","great","to","see","you",5
"4571","that","would","have","been","a",5
"4572","mentioned","how","much","i","love",5
"4573","might","be","able","to","do",5
"4574","was","a","kid","i","used",5
"4575","a","kid","i","used","to",5
"4576","at","the","top","of","their",5
"4577","forward","to","hearing","more","from",5
"4578","sounds","like","a","good","idea",5
"4579","mb","guy","of","the","day",5
"4580","it","would","make","my","day",5
"4581","you","too","have","a","great",5
"4582","this","has","been","a","long",5
"4583","is","a","dream","come","true",5
"4584","dont","know","how","to","do",5
"4585","you","have","a","problem","with",5
"4586","to","say","thank","you","for",5
"4587","to","get","in","on","the",5
"4588","like","to","call","it","the",5
"4589","need","to","go","to","bed",5
"4590","i","was","in","the","mood",5
"4591","just","wanted","to","make","sure",5
"4592","i","have","to","wait","for",5
"4593","to","all","the","mothers","out",5
"4594","all","the","mothers","out","there",5
"4595","here","for","a","long","time",5
"4596","it","was","great","seeing","you",5
"4597","english","as","a","second","language",5
"4598","what","to","do","with","my",5
"4599","at","the","very","least","i",5
"4600","say","yes","to","the","dress",5
"4601","i","have","no","reason","to",5
"4602","be","able","to","believe","in",5
"4603","in","the","game","of","life",5
"4604","if","youre","going","to","be",5
"4605","the","best","way","to","get",5
"4606","is","so","much","better","than",5
"4607","we","will","be","giving","away",5
"4608","i","was","a","kid","my",5
"4609","why","are","there","so","many",5
"4610","also","a","great","way","to",5
"4611","you","won","t","want","to",5
"4612","make","the","best","of","it",5
"4613","i","think","about","it","i",5
"4614","you","hate","it","when","you",5
"4615","may","the","force","be","with",5
"4616","the","force","be","with","you",5
"4617","i","grew","up","in","the",5
"4618","it","has","been","said","that",5
"4619","i","sent","you","an","email",5
"4620","around","the","corner","from","my",5
"4621","when","i","went","to","the",5
"4622","on","the","day","of","the",5
"4623","i","have","ever","seen","in",5
"4624","how","much","i","love","her",5
"4625","be","able","to","see","it",5
"4626","fresh","prince","of","bel","air",5
"4627","dont","have","the","time","to",5
"4628","whats","going","on","in","the",5
"4629","really","hard","for","me","to",5
"4630","other","side","of","the","room",5
"4631","game","comment","in","the","android",5
"4632","comment","in","the","android","market",5
"4633","there","thanks","for","the","follow",5
"4634","i","had","no","idea","it",5
"4635","something","to","be","proud","of",5
"4636","a","mind","of","its","own",5
"4637","and","as","soon","as","i",5
"4638","a","special","place","in","my",5
"4639","special","place","in","my","heart",5
"4640","to","get","to","the","bottom",5
"4641","one","of","those","days","when",5
"4642","out","in","front","of","me",5
"4643","the","next","couple","of","days",5
"4644","out","with","the","old","in",5
"4645","with","the","old","in","with",5
"4646","the","old","in","with","the",5
"4647","old","in","with","the","new",5
"4648","it","might","just","be","the",5
"4649","free","e","book","award","winning",5
"4650","e","book","award","winning","novel",5
"4651","book","award","winning","novel","gray",5
"4652","award","winning","novel","gray","rainbow",5
"4653","winning","novel","gray","rainbow","journey",5
"4654","novel","gray","rainbow","journey","limited",5
"4655","gray","rainbow","journey","limited","time",5
"4656","rainbow","journey","limited","time","offer",5
"4657","journey","limited","time","offer","contact",5
"4658","that","i","have","no","idea",5
"4659","it","just","me","or","did",5
"4660","while","the","rest","of","the",5
"4661","i","used","to","have","a",5
"4662","asked","me","if","i","was",5
"4663","the","beginning","of","the","end",5
"4664","g","certified","wet","tshirt","contest",5
"4665","certified","wet","tshirt","contest","friday",5
"4666","wet","tshirt","contest","friday","club",5
"4667","tshirt","contest","friday","club","drama",5
"4668","contest","friday","club","drama","want",5
"4669","friday","club","drama","want","to",5
"4670","club","drama","want","to","get",5
"4671","drama","want","to","get","in",5
"4672","want","to","get","in","for",5
"4673","to","get","in","for","free",5
"4674","get","in","for","free","txt",5
"4675","in","for","free","txt","me",5
"4676","for","free","txt","me","i",5
"4677","free","txt","me","i","will",5
"4678","txt","me","i","will","tell",5
"4679","me","i","will","tell","you",5
"4680","i","will","tell","you","how",5
"4681","thanks","to","those","of","you",5
"4682","when","are","we","going","to",5
"4683","would","mean","the","world","if",5
"4684","mean","the","world","if","you",5
"4685","i","got","it","in","the",5
"4686","we","would","like","to","thank",5
"4687","its","a","great","day","to",5
"4688","to","try","and","get","some",5
"4689","i","dont","understand","why","people",5
"4690","thing","you","can","do","is",5
"4691","wanted","to","be","able","to",5
"4692","you","are","what","you","eat",5
"4693","want","to","share","with","you",5
"4694","that","i","am","working","on",5
"4695","i","wasnt","that","drunk","dude",5
"4696","sure","what","to","make","of",5
"4697","nice","to","meet","you","and",5
"4698","have","a","chance","to","win",5
"4699","i","see","how","it","is",5
"4700","on","the","same","day","as",5
"4701","i","want","to","work","for",5
"4702","and","i","dont","know","how",5
"4703","is","at","the","top","of",5
"4704","an","important","part","of","the",5
"4705","when","you","re","trying","to",5
"4706","i","think","i","might","just",5
"4707","i","think","thats","a","good",5
"4708","on","a","limb","and","say",5
"4709","because","i","wanted","to","see",5
"4710","i","d","like","to","give",5
"4711","to","hear","more","about","your",5
"4712","person","in","the","world","who",5
"4713","to","get","ready","for","the",5
"4714","sexy","account","related","to","porn",5
"4715","is","more","important","than","the",5
"4716","way","to","work","this","morning",5
"4717","but","i","dont","know","how",5
"4718","definitely","one","of","my","favorite",5
"4719","don","t","want","to","see",5
"4720","shoutout","to","my","new","followers",5
"4721","if","i","had","to","choose",5
"4722","i","hope","you","enjoy","the",5
"4723","thanks","for","all","of","the",5
"4724","just","got","home","from","a",5
"4725","get","to","the","point","where",5
"4726","but","i","am","trying","to",5
"4727","are","just","some","of","the",5
"4728","please","call","this","number","please",5
"4729","call","this","number","please","its",5
"4730","this","number","please","its","my",5
"4731","number","please","its","my","friends",5
"4732","please","its","my","friends","birthday",5
"4733","its","my","friends","birthday","she",5
"4734","my","friends","birthday","she","would",5
"4735","friends","birthday","she","would","be",5
"4736","birthday","she","would","be","so",5
"4737","she","would","be","so","happy",5
"4738","will","be","back","in","the",5
"4739","is","one","of","those","days",5
"4740","the","planet","of","the","apes",5
"4741","what","is","going","to","happen",5
"4742","for","the","past","few","days",5
"4743","for","the","shout","out","and",5
"4744","i","have","no","clue","how",5
"4745","to","take","care","of","my",5
"4746","wanted","to","be","the","first",5
"4747","come","a","long","way","since",5
"4748","are","the","best","of","the",5
"4749","what","they","have","to","say",5
"4750","the","first","time","this","season",5
"4751","it","has","something","to","do",5
"4752","best","of","luck","in","your",5
"4753","i","am","so","glad","that",5
"4754","the","first","time","this","year",5
"4755","i","need","to","do","is",5
"4756","out","of","their","way","to",5
"4757","do","you","really","think","that",5
"4758","an","arm","and","a","leg",5
"4759","hard","to","keep","up","with",5
"4760","have","to","do","with","the",5
"4761","part","of","the","reason","i",5
"4762","i","was","just","going","to",5
"4763","what","do","you","do","with",5
"4764","as","you","can","see","my",5
"4765","in","the","words","of","the",5
"4766","out","of","town","for","a",5
"4767","figure","out","what","to","do",5
"4768","and","call","it","a","night",5
"4769","what","are","some","of","your",5
"4770","are","some","of","your","favorite",5
"4771","no","matter","how","much","we",5
"4772","woke","up","in","the","morning",5
"4773","i","cant","figure","out","why",5
"4774","know","the","name","of","the",5
"4775","from","what","i","can","tell",5
"4776","how","hard","it","is","to",5
"4777","never","have","been","able","to",5
"4778","it","would","be","to","have",5
"4779","get","to","hang","out","with",5
"4780","ill","get","back","to","you",5
"4781","never","got","a","chance","to",5
"4782","as","much","as","i","want",5
"4783","time","with","family","and","friends",5
"4784","yet","at","the","same","time",5
"4785","i","love","it","so","much",5
"4786","i","am","going","to","give",5
"4787","if","you","ve","got","a",5
"4788","i","have","always","been","a",5
"4789","when","you","wake","up","and",5
"4790","have","to","go","through","the",5
"4791","i","cant","believe","how","many",5
"4792","of","the","day","i","think",5
"4793","am","looking","forward","to","seeing",5
"4794","i","need","to","catch","up",5
"4795","i","cant","make","it","to",5
"4796","happy","new","year","to","all",5
"4797","live","in","a","world","of",5
"4798","one","of","the","most","famous",5
"4799","a","day","to","day","basis",5
"4800","know","if","you","need","a",5
"4801","i","am","so","happy","for",5
"4802","i","can","think","about","is",5
"4803","a","week","and","a","half",5
"4804","coming","up","in","a","few",5
"4805","would","love","to","hear","more",5
"4806","rt","i","wish","i","could",5
"4807","things","i","want","to","do",5
"4808","is","the","same","as","the",5
"4809","we","were","on","our","way",5
"4810","i","was","about","to","say",5
"4811","to","figure","out","a","way",5
"4812","it","was","a","long","day",5
"4813","ever","seen","in","my","life",5
"4814","next","time","i","go","to",5
"4815","be","a","dream","come","true",5
"4816","the","fact","that","he","is",5
"4817","now","that","i","have","my",5
"4818","i","have","a","list","of",5
"4819","been","doing","a","lot","of",5
"4820","the","time","it","takes","to",5
"4821","make","up","for","all","the",5
"4822","to","god","be","the","glory",5
"4823","excited","to","be","a","part",5
"4824","i","have","never","been","so",5
"4825","good","to","hear","from","you",5
"4826","in","the","united","states","is",5
"4827","dont","even","know","what","that",5
"4828","she","loves","you","so","much",5
"4829","the","last","thing","i","want",5
"4830","last","thing","i","want","to",5
"4831","you","are","in","for","a",5
"4832","for","the","third","time","in",5
"4833","about","it","be","about","it",5
"4834","way","to","start","the","weekend",5
"4835","means","so","much","to","me",5
"4836","as","we","get","closer","to",5
"4837","the","rest","of","the","team",5
"4838","i","just","need","to","finish",5
"4839","to","stay","on","top","of",5
"4840","you","need","to","make","a",5
"4841","i","had","no","idea","how",5
"4842","you","know","that","i","love",5
"4843","loves","you","so","much","please",5
"4844","in","and","out","of","my",5
"4845","i","think","it","may","be",5
"4846","a","few","years","back","i",5
"4847","end","of","the","day","it",5
"4848","the","hustle","and","bustle","of",5
"4849","all","you","need","is","love",5
"4850","one","thing","at","a","time",5
"4851","i","was","just","thinking","that",5
"4852","i","will","most","likely","be",5
"4853","i","felt","like","i","had",5
"4854","we","had","such","a","great",5
"4855","a","chance","to","win","one",5
"4856","it","is","said","to","be",5
"4857","set","the","world","on","fire",5
"4858","cant","believe","its","been","years",5
"4859","i","came","up","with","the",5
"4860","see","you","in","a","few",5
"4861","the","number","of","times","i",5
"4862","might","not","be","able","to",5
"4863","you","need","to","go","to",5
"4864","but","i","dont","think","it",5
"4865","makes","me","want","to","go",5
"4866","it","s","a","matter","of",5
"4867","dont","know","if","it","was",5
"4868","followers","thank","you","so","much",5
"4869","even","if","you","don","t",5
"4870","what","do","you","have","to",5
"4871","i","know","im","going","to",5
"4872","and","im","looking","forward","to",5
"4873","know","what","i","would","do",5
"4874","we","all","know","and","love",5
"4875","what","should","have","been","a",5
"4876","to","take","the","time","to",5
"4877","the","edge","of","your","seat",5
"4878","i","feel","like","ive","been",5
"4879","i","am","super","excited","about",5
"4880","i","was","thinking","about","the",5
"4881","the","next","step","is","to",5
"4882","you","have","to","go","to",5
"4883","here","in","the","u","s",5
"4884","matter","how","many","times","you",5
"4885","a","vital","role","in","the",5
"4886","what","i","consider","to","be",5
"4887","your","chance","to","win","a",5
"4888","for","a","minute","or","two",5
"4889","it","was","only","a","matter",5
"4890","was","only","a","matter","of",5
"4891","first","day","of","the","rest",5
"4892","day","of","the","rest","of",5
"4893","was","born","and","raised","in",5
"4894","know","how","to","make","a",5
"4895","cant","wait","to","get","home",5
"4896","is","a","product","of","the",5
"4897","counting","down","the","days","till",5
"4898","i","got","the","chance","to",5
"4899","the","last","week","or","so",5
"4900","i","do","not","know","what",5
"4901","on","the","hunt","for","a",5
"4902","to","all","and","to","all",5
"4903","all","and","to","all","a",5
"4904","i","have","a","habit","of",5
"4905","for","the","price","of","one",5
"4906","put","my","finger","on","it",5
"4907","i","feel","as","if","i",5
"4908","can","be","traced","back","to",5
"4909","it","over","and","over","again",5
"4910","know","what","it","feels","like",5
"4911","was","a","good","idea","to",5
"4912","no","where","to","be","found",5
"4913","is","definitely","one","of","the",5
"4914","and","im","not","sure","if",5
"4915","i","know","its","hard","to",5
"4916","the","early","hours","of","the",5
"4917","burned","calories","doing","minutes","of",5
"4918","and","this","is","one","of",5
"4919","all","well","and","good","but",5
"4920","great","to","see","you","on",5
"4921","u","s","department","of","justice",5
"4922","there","was","no","need","to",5
"4923","i","have","to","deal","with",5
"4924","what","is","it","like","to",5
"4925","i","love","the","look","of",5
"4926","come","to","the","realization","that",5
"4927","i","was","so","excited","to",5
"4928","its","one","of","those","things",5
"4929","the","rest","of","my","day",5
"4930","it","doesn","t","really","matter",5
"4931","i","have","to","admit","it",5
"4932","i","am","so","tired","of",5
"4933","in","my","life","and","i",5
"4934","out","of","my","way","to",5
"4935","separation","of","church","and","state",5
"4936","and","im","not","going","to",5
"4937","did","i","mention","that","i",5
"4938","at","this","point","in","my",5
"4939","the","rest","of","the","time",5
"4940","let","me","get","this","straight",5
"4941","there","would","be","no","need",5
"4942","you","are","not","going","to",5
"4943","the","nature","of","the","beast",5
"4944","would","like","to","see","more",5
"4945","do","everything","they","can","to",5
"4946","i","can","do","this","i",5
"4947","hope","you","have","had","a",5
"4948","i","thought","i","would","be",5
"4949","is","the","essence","of","life",5
"4950","out","what","to","do","with",5
"4951","wait","to","get","my","hands",5
"4952","i","want","to","see","that",5
"4953","thanks","for","stopping","by","today",5
"4954","in","love","with","the","idea",5
"4955","look","at","some","of","the",5
"4956","even","know","what","that","means",5
"4957","i","dont","think","ive","ever",5
"4958","i","cant","believe","its","already",5
"4959","it","is","so","important","to",5
"4960","on","the","way","home","from",5
"4961","i","thought","this","would","be",5
"4962","i","dont","feel","like","going",5
"4963","the","most","important","things","you",5
"4964","i","wake","up","in","the",5
"4965","less","than","a","week","away",5
"4966","there","have","been","so","many",5
"4967","even","though","it","was","a",5
"4968","there","is","a","big","difference",5
"4969","going","to","try","and","get",5
"4970","to","be","able","to","make",5
"4971","and","the","rest","of","us",5
"4972","so","i","didnt","have","to",5
"4973","have","a","lot","of","things",5
"4974","want","to","be","in","the",5
"4975","the","rest","of","us","are",5
"4976","for","helping","spread","the","word",5
"4977","in","a","way","that","is",5
"4978","be","when","i","grow","up",5
"4979","i","would","be","happy","to",5
"4980","is","the","best","thing","to",5
"4981","the","best","thing","to","do",5
"4982","would","probably","be","a","good",5
"4983","to","see","all","of","the",5
"4984","it","was","really","hard","to",5
"4985","so","glad","you","liked","it",5
"4986","a","lot","of","money","for",5
"4987","i","wanted","to","make","a",5
"4988","and","i","will","see","you",5
"4989","for","the","first","time","it",5
"4990","to","get","up","close","and",5
"4991","it","has","been","a","very",5
"4992","you","feel","the","need","to",5
"4993","find","out","more","about","the",5
"4994","youve","got","to","be","kidding",5
"4995","back","to","the","way","it",5
"4996","to","the","way","it","was",5
"4997","in","a","world","full","of",5
"4998","i","think","we","have","a",5
"4999","thanks","for","all","your","support",5
"5000","had","no","idea","what","a",5
"5001","has","one","of","the","best",5
"5002","brings","back","so","many","memories",5
"5003","having","a","bit","of","a",5
"5004","this","is","what","we","do",5
"5005","but","most","of","all","we",5
"5006","i","dont","know","if","they",5
"5007","that","i","was","able","to",5
"5008","how","much","you","love","them",5
"5009","the","word","of","the","day",5
"5010","a","smile","to","my","face",5
"5011","just","a","few","weeks","ago",5
"5012","is","in","the","middle","of",5
"5013","its","time","for","you","to",5
"5014","but","sometimes","you","have","to",5
"5015","long","did","it","take","you",5
"5016","in","the","way","of","the",5
"5017","i","never","thought","i","could",5
"5018","your","best","bet","is","to",5
"5019","i","had","a","wonderful","time",5
"5020","what","are","your","thoughts","on",5
"5021","get","it","out","of","my",5
"5022","it","out","of","my","head",5
"5023","is","the","first","time","i",5
"5024","one","of","the","first","to",5
"5025","getting","back","into","the","swing",5
"5026","they","are","going","to","be",5
"5027","its","just","one","of","those",5
"5028","am","a","huge","fan","of",5
"5029","it","was","lots","of","fun",5
"5030","there","are","a","ton","of",5
"5031","out","of","his","way","to",5
"5032","would","never","be","able","to",5
"5033","but","in","the","end","they",5
"5034","like","to","point","out","that",5
"5035","you","are","not","familiar","with",5
"5036","the","things","that","i","have",5
"5037","would","be","good","to","have",5
"5038","to","get","out","of","here",5
"5039","interesting","to","say","the","least",5
"5040","the","name","of","the","game",5
"5041","i","honestly","dont","know","what",5
"5042","careful","what","you","wish","for",5
"5043","i","would","like","to","think",5
"5044","there","are","going","to","be",5
"5045","i","would","like","to","have",5
"5046","over","the","last","few","days",5
"5047","in","the","middle","of","my",5
"5048","i","know","that","when","i",5
"5049","would","very","much","like","to",5
"5050","once","upon","a","time","i",5
"5051","to","let","you","all","know",5
"5052","for","the","month","of","april",5
"5053","what","you","want","to","hear",5
"5054","who","you","are","where","you",5
"5055","us","spread","the","word","about",5
"5056","to","get","back","to","work",5
"5057","sometimes","you","have","to","let",5
"5058","there","are","a","few","people",5
"5059","for","the","first","time","the",5
"5060","i","want","to","listen","to",5
"5061","is","not","meant","to","be",5
"5062","would","have","loved","to","have",5
"5063","and","i","hope","you","are",5
"5064","and","one","of","my","favorite",5
"5065","all","is","said","and","done",5
"5066","as","much","as","i","used",5
"5067","much","as","i","used","to",5
"5068","have","to","deal","with","the",5
"5069","at","an","all","time","high",5
"5070","i","just","dont","know","what",5
"5071","like","a","good","time","to",5
"5072","i","cant","wait","to","have",5
"5073","i","have","no","problem","with",5
"5074","one","of","the","most","difficult",5
"5075","a","lot","of","work","but",5
"5076","dont","know","how","to","make",5
"5077","i","get","out","of","the",5
"5078","be","able","to","relate","to",5
"5079","so","much","to","do","and",5
"5080","i","just","need","to","find",5
"5081","so","why","is","it","that",5
"5082","have","no","idea","what","it",5
"5083","i","do","not","wish","to",5
"5084","i","will","try","to","get",5
"5085","for","the","past","few","months",5
"5086","excited","to","be","able","to",5
"5087","the","start","of","a","new",5
"5088","a","very","very","long","time",5
"5089","and","to","be","able","to",5
"5090","is","a","hell","of","a",5
"5091","the","same","time","as","the",5
"5092","most","important","thing","in","the",5
"5093","important","thing","in","the","world",5
"5094","but","it","was","fun","to",5
"5095","we","are","so","excited","to",5
"5096","it","will","be","a","long",5
"5097","the","bad","and","the","ugly",5
"5098","i","think","it","is","time",5
"5099","of","not","being","able","to",5
"5100","if","you","want","to","go",5
"5101","matter","how","old","you","are",5
"5102","this","would","be","a","great",5
"5103","to","do","a","photo","shoot",5
"5104","on","top","of","that","i",5
"5105","you","want","to","do","is",5
"5106","i","am","so","thankful","to",5
"5107","to","have","the","opportunity","to",5
"5108","but","you","have","to","be",5
"5109","i","must","say","that","i",5
"5110","it","was","a","great","day",5
"5111","but","i","think","it","was",5
"5112","to","get","the","most","out",5
"5113","the","best","way","to","do",5
"5114","be","happy","to","help","you",5
"5115","a","few","of","my","friends",5
"5116","as","if","it","were","a",5
"5117","to","make","sure","it","was",5
"5118","to","pick","up","a","few",5
"5119","see","a","lot","of","people",5
"5120","we","made","it","to","the",5
"5121","is","all","over","the","place",5
"5122","that","i","need","to","do",5
"5123","well","let","me","tell","you",5
"5124","is","more","than","just","a",5
"5125","had","a","great","time","and",5
"5126","to","go","to","sleep","and",5
"5127","a","small","group","of","people",5
"5128","in","the","market","for","a",5
"5129","think","it","would","be","fun",5
"5130","the","only","thing","that","will",5
"5131","i","know","i","have","been",5
"5132","about","a","third","of","the",5
"5133","in","a","while","so","i",5
"5134","what","we","have","here","is",5
"5135","the","good","the","bad","and",5
"5136","good","the","bad","and","the",5
"5137","have","had","a","lot","of",5
"5138","while","we","wait","for","the",5
"5139","other","side","of","the","world",5
"5140","out","to","be","one","of",5
"5141","i","guess","i","will","have",5
"5142","let","me","tell","you","that",5
"5143","the","top","of","the","list",5
"5144","and","it","reminded","me","of",5
"5145","there","are","two","kinds","of",5
"5146","the","most","out","of","your",5
"5147","into","the","bottom","of","the",5
"5148","of","my","all","time","favorites",5
"5149","far","as","i","can","see",5
"5150","was","the","first","time","in",5
"5151","for","the","next","round","of",5
"5152","i","know","that","i","m",5
"5153","the","first","time","in","history",5
"5154","i","havent","had","a","chance",5
"5155","i","am","not","talking","about",5
"5156","in","a","variety","of","ways",5
"5157","is","so","much","to","say",5
"5158","reached","the","end","of","the",5
"5159","which","is","a","good","thing",5
"5160","where","im","going","with","this",5
"5161","i","hope","you","all","are",5
"5162","to","make","it","easier","to",5
"5163","see","what","you","come","up",5
"5164","the","state","of","new","jersey",5
"5165","the","last","few","days","i",5
"5166","the","next","day","or","so",5
"5167","one","of","the","most","interesting",5
