"input_clean" "Freq"
"1140" "dimora" 15
"1141" "dog" 15
"1142" "dozen" 15
"1143" "due" 15
"1144" "else" 15
"1145" "environmental" 15
"1146" "events" 15
"1147" "familiar" 15
"1148" "february" 15
"1149" "firm" 15
"1150" "fish" 15
"1151" "follow" 15
"1152" "frank" 15
"1153" "french" 15
"1154" "funding" 15
"1155" "george" 15
"1156" "happened" 15
"1157" "holding" 15
"1158" "honor" 15
"1159" "housing" 15
"1160" "human" 15
"1161" "illegal" 15
"1162" "increase" 15
"1163" "increased" 15
"1164" "issued" 15
"1165" "learn" 15
"1166" "library" 15
"1167" "looked" 15
"1168" "means" 15
"1169" "millions" 15
"1170" "missouri" 15
"1171" "offers" 15
"1172" "overall" 15
"1173" "particularly" 15
"1174" "parties" 15
"1175" "practice" 15
"1176" "present" 15
"1177" "quarterback" 15
"1178" "rams" 15
"1179" "relationship" 15
"1180" "response" 15
"1181" "scott" 15
"1182" "seconds" 15
"1183" "self" 15
"1184" "serving" 15
"1185" "size" 15
"1186" "society" 15
"1187" "specific" 15
"1188" "spokeswoman" 15
"1189" "stories" 15
"1190" "straight" 15
"1191" "super" 15
"1192" "talking" 15
"1193" "theater" 15
"1194" "theatre" 15
"1195" "thousands" 15
"1196" "vice" 15
"1197" "voted" 15
"1198" "walk" 15
"1199" "ways" 15
"1200" "weekend" 15
"1201" "yes" 15
"1202" "2004" 14
"1203" "2005" 14
"1204" "41" 14
"1205" "actually" 14
"1206" "african" 14
"1207" "annual" 14
"1208" "appeared" 14
"1209" "approach" 14
"1210" "atlanta" 14
"1211" "boy" 14
"1212" "brian" 14
"1213" "bridge" 14
"1214" "brought" 14
"1215" "cause" 14
"1216" "certain" 14
"1217" "committed" 14
"1218" "concerned" 14
"1219" "considered" 14
"1220" "corner" 14
"1221" "couldn" 14
"1222" "cuts" 14
"1223" "dead" 14
"1224" "decided" 14
"1225" "declined" 14
"1226" "deep" 14
"1227" "degree" 14
"1228" "division" 14
"1229" "emergency" 14
"1230" "enforcement" 14
"1231" "fight" 14
"1232" "figure" 14
"1233" "heard" 14
"1234" "heat" 14
"1235" "heavy" 14
"1236" "ice" 14
"1237" "items" 14
"1238" "king" 14
"1239" "l" 14
"1240" "labor" 14
"1241" "mean" 14
"1242" "michigan" 14
"1243" "mostly" 14
"1244" "mountain" 14
"1245" "movie" 14
"1246" "neighbors" 14
"1247" "nice" 14
"1248" "ones" 14
"1249" "page" 14
"1250" "period" 14
"1251" "phoenix" 14
"1252" "positive" 14
"1253" "possession" 14
"1254" "pounds" 14
"1255" "prison" 14
"1256" "pro" 14
"1257" "quality" 14
"1258" "ran" 14
"1259" "related" 14
"1260" "required" 14
"1261" "resources" 14
"1262" "respect" 14
"1263" "restaurants" 14
"1264" "seeing" 14
"1265" "similar" 14
"1266" "sit" 14
"1267" "sound" 14
"1268" "stars" 14
"1269" "starts" 14
"1270" "trip" 14
"1271" "vehicles" 14
"1272" "victims" 14
"1273" "w" 14
"1274" "wait" 14
"1275" "website" 14
"1276" "winning" 14
"1277" "600" 13
"1278" "65" 13
"1279" "adding" 13
"1280" "advance" 13
"1281" "ages" 13
"1282" "amount" 13
"1283" "attacks" 13
"1284" "averaged" 13
"1285" "beginning" 13
"1286" "bench" 13
"1287" "books" 13
"1288" "candidates" 13
"1289" "cannot" 13
"1290" "capacity" 13
"1291" "caught" 13
"1292" "cents" 13
"1293" "championship" 13
"1294" "charged" 13
"1295" "choice" 13
"1296" "coast" 13
"1297" "complete" 13
"1298" "consider" 13
"1299" "construction" 13
"1300" "cook" 13
"1301" "coverage" 13
"1302" "creek" 13
"1303" "cutting" 13
"1304" "described" 13
"1305" "dropped" 13
"1306" "easier" 13
"1307" "english" 13
"1308" "entire" 13
"1309" "estimated" 13
"1310" "europe" 13
"1311" "forced" 13
"1312" "global" 13
"1313" "grand" 13
"1314" "growing" 13
"1315" "hair" 13
"1316" "hasn" 13
"1317" "haven" 13
"1318" "host" 13
"1319" "houston" 13
"1320" "hurt" 13
"1321" "identified" 13
"1322" "injuries" 13
"1323" "investment" 13
"1324" "israel" 13
"1325" "jason" 13
"1326" "jim" 13
"1327" "jones" 13
"1328" "kevin" 13
"1329" "latest" 13
"1330" "lawyer" 13
"1331" "learned" 13
"1332" "lines" 13
"1333" "lose" 13
"1334" "met" 13
"1335" "minute" 13
"1336" "notes" 13
"1337" "onto" 13
"1338" "options" 13
"1339" "original" 13
"1340" "orlando" 13
"1341" "pace" 13
"1342" "paper" 13
"1343" "passed" 13
"1344" "perfect" 13
"1345" "plain" 13
"1346" "proposal" 13
"1347" "prosecutors" 13
"1348" "putting" 13
"1349" "recession" 13
